p cnf 100 42
26 -99 7 0
-90 84 -94 0
74 -99 -7 0
31 5 61 0
29 16 -10 0
9 -41 -98 0
30 46 -43 0
-78 -5 67 0
85 -82 22 0
-69 26 -57 0
-77 -40 -12 0
-34 85 13 0
43 -86 -49 0
26 -54 -82 0
88 67 4 0
16 -21 75 0
95 29 14 0
-51 -47 -8 0
-99 80 31 0
-58 -14 97 0
-97 75 -62 0
100 97 -86 0
36 -54 -35 0
-20 52 -70 0
-80 -89 -10 0
-17 47 42 0
35 17 40 0
9 66 97 0
33 -28 1 0
99 58 -21 0
76 51 18 0
62 -63 -51 0
44 91 -47 0
-89 -67 -82 0
22 -67 -18 0
14 -51 1 0
65 29 -92 0
97 73 -65 0
-97 -1 64 0
-39 -12 -100 0
7 -67 -24 0
37 -62 20 0
